ʒα
rϵ
rσ
tɛ
ny
jɛ
je
fɛ
tœ
gɛ
lσ
gœ
rα
vɛ
d
v
re
rɛ
ly
wϵ
li
vœ
nɛ
nœ
dɔ
sœ
jσ
pɔ
ki
lo
bœ
lɛ
π
lu
ra
tσ
kœ
kø
pœ
ko
ʒu
bσ
vy
vo
wɛ
du
ʒa
ga
gi
nɔ
pi
pe
sy
pɛ
rɔ
kɛ
tϵ
py
fi
ry
pø
lϵ
mœ
vi
po
dœ
ve
ʒ
ʒe
lɔ
ʒo
ʒɔ
ʒɛ
ʃ
de
ʒœ
jϵ
la
me
mu
mɛ
vu
te
ti
vɔ
ʃɛ
s
u
b
f
g
ni
ø
p
w
α
µ
mi
sα
ʃo
ʃe
ʃu
ʃi
ʃa
do
di
ba
ko
nœ
n
nu
va
wa
l
mɔ
il
bo
bɔ
da
dσ
lœ
su
sσ
ze
za
dy
sɛ
ku
ta
ty
fø
wi
pa
ky
se
si
tu
na
nσ
pu
mσ
mo
to
ka
ʃα
fɔ
be
kσ
kɔ
σ
a
e
j
k
o
i
ɲ
bi
le
r
vα
y
ɛ
µi
j
go
ma
mα
ri
dα
t
œ
rœ
m
ϵ
sa
gɔ
ɔ
_
