dϵ
ri
ʒα
jα
bα
ʃu
zɛ
zy
zϵ
zα
kα
ke
kπ
gy
ge
gu
zi
zo
zɔ
zu
fu
fa
lø
jo
fœ
fϵ
ʒy
ʒø
ʒi
fy
jø
ju
nϵ
lα
nα
ne
pϵ
my
rϵ
rσ
ru
tɛ
vø
vσ
vϵ
wσ
wα
tɔ
tø
tα
fα
fo
ny
jɛ
pα
ni
je
bu
by
bϵ
mϵ
kϵ
jɔ
so
sɔ
sϵ
fɛ
tœ
gɛ
zσ
lσ
ro
gœ
gσ
fσ
dœ
fe
rα
vɛ
we
re
rɛ
pσ
ly
wϵ
li
vœ
nɛ
nœ
dɔ
sœ
jσ
pɔ
ki
lo
bœ
lɛ
lu
ra
tσ
kœ
kø
pœ
ko
ʒu
bσ
vy
vo
wɛ
du
ʒa
ga
gi
nɔ
pi
pe
sy
pɛ
rɔ
kɛ
tϵ
py
fi
ry
pø
lϵ
mœ
vi
po
dø
ve
ʒe
lɔ
ʒo
ʒɔ
ʒɛ
de
ʒœ
jϵ
la
me
mu
mɛ
vu
te
ti
vɔ
ʃɛ
mi
sα
ʃo
ʃe
ʃu
ʃi
ʃa
do
di
ba
ko
nœ
nu
va
wa
mɔ
il
bo
bɔ
da
dσ
lœ
su
sσ
ze
za
dy
sɛ
ku
ta
ty
fø
wi
pa
ky
se
si
tu
na
nσ
pu
mσ
mo
tɔ
to
ka
ʃα
fɔ
be
kσ
kɔ
bi
le
vα
µi
go
ma
mα
dα
sa
gɔ
rœ
r
t
œ
m
ϵ
σ
a
e
j
k
n
o
j
i
ɲ
y
ɛ
ɔ
s
u
ʃ
b
f
z
π
g
ø
ʒ
p
w
α
µ
d
v
_
l
