^mm#m
^ix$#iks
^nn#n
^où$#u
^pp#p
^rr#r
^ll#l
^ss#s
^ciel$#sjɛl
^tiel$#sjɛl
^ieux$#jø
^eux$#ø
^end$#α
^iser#ize
^ser$#se
^gn#nj
^ciné#sine
^ant$#α
^er$#e
^ez$#e
^tin$#tϵ
^ch$#k
^aill#aj
^eill#ɛj
^ille$#j
^uë#y
^oë#oɛ
^s(?=['ç'])#s
^ueil#œj
^aient$#ɛ
^emment$#amα
^ente$#αt
^ment$#mα
^ent$#
^et$#ɛ
^eau#o
^ea#a
^et$#ɛ
^oin#wϵ
^ouin$#wϵ
^oin$#wϵ
^em(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#α
^ou(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#w
^eu(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#œ
^eu$#ø
^eue$#ø
^tien$#sjϵ
^tion$#sjσ
^t(?=['in'])#t
^ce$#sœ
^t'#t
^je$#ʒœ
^ien#jϵ
^(eur|oeur)$#œr
^oe#œ
^(ou|ou$)#u
^à$#a
^aise$#ɛz
^en$#α
^g$#
^d$#
^gu(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#gy
^gu(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#g
^g(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#g
^g(?=['o','ô','a','â','u','û'])#g
^g(?=['e','ë','ê','i','y'])#ʒ
^ille#ij
^oi#wa
^t(?=['i'])#s
^aine$#ɛn
^ys#iz
^an(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#an
^onn#ɔn
^on#σ
^oin$#wϵ
^t$#
^p$#
^(l|ll)#l
^j'#ʒ
^h(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#
^l'#l
^c'#s
^sym(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#sϵ
^y(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#i
^es$#
^th#t
^ine$#in
^ph#f
^i(?=['a','â','i','o','ô','u','û','è'])#j
^and$#α
^euse$#øz
^est$#ɛ
^s(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#s
^c(?=['b', 'c', 'd', 'f', 'g', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#k
^c(?=['a','â','u','û','o','ô'])#k
^c(?=['e','ë','ê','é','è','y','i','î'])#s
^ç(?=['a','â','u','û','o','ô'])#s
^y(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#j
^en(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#α
^en(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#en
^e(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z']{2})#ɛ
^e(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z']{1})#œ
^an(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#an
^qu#k
^eu$#œ
^ouai#wɛ
^ouet#wɛ
^ch(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#k
^in#ϵ
^ou(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#w
^ain#ϵ
^ein#ϵ
^ei#ɛ
^er$#e
^eu$#ø
^gno#gno
^hou#u
^in$#ϵ
^un$#π
^ai#ɛ
^an#α
^au#o
^ce$#s
^ce#sɛ
^ch(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#ʃ
^eu#œ
^ff#f
^imm#im
^im#ϵ
^on(?=["a","â","e","ë","ê","i","o","ô","u","û","û","y","é","è","â","à","ï","î","ë","û","ù","ê"])#on
^on(?=['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 't', 'v', 'w', 'x', 'z'])#σ
^om(?=['b'])#σ
^oû#u
^s(?=.)#s
^s$#
^sh#ʃ
^s#z
^t$#
^e$#
^tt#t
^ui#µi
^x$#
^x#ks
^ça#sa
^a#a
^b#b
^d#d
^f#f
^g#ʒ
^i#i
^j#ʒ
^k#k
^m#m
^n#n
^o#ɔ
^p#p
^r#r
^t#t
^u#y
^v#v
^w#w
^z#z
^â#a
^è#ɛ
^é#e
^î#i
^ï#i
^ô#o
^ö#o
^c$#k
^é#e
^è#ɛ
^ê#ɛ
^ë#œ
^û#y
^à#a
^h#
^y#i
